w,cat,d,hint,ex,alt,status
JOLLOF,Chop,1,The rice that starts arguments,"Naija ___ pass Ghana own, abeg",,live
SUYA,Chop,1,Peppered meat off the mallam's grill,Buy ___ for me for that junction,,live
ZOBO,Chop,1,Deep-red hibiscus drink,Cold ___ for this hot afternoon,,live
AKARA,Chop,2,"Bean cake, fried golden",Morning ___ and pap na correct combo,,live
EGUSI,Chop,2,"Melon-seed soup, lumpy and correct",She cook ___ soup with plenty meat,,live
GARRI,Chop,2,Soak am with groundnut and sugar,"No money, na ___ we go soak tonight",GARI,live
PONMO,Chop,2,Chewy cow skin in the stew,Add ___ for my plate abeg,POMO,live
MOIMOI,Chop,2,Steamed bean pudding,Party rice without ___? Nonsense,MOINMOIN|MOIMOIN,live
NKWOBI,Chop,3,"Spicy cow-foot delicacy, Igbo style",We order ___ for the bar,,live
ABACHA,Chop,3,African salad from shredded cassava,___ dey sweet with plenty ugba,,live
JAPA,Gist,1,"To relocate abroad, sharply",Him don ___ go Canada,,live
MUMU,Gist,1,"A fool, someone easily deceived",Dem take am for ___,,live
YARN,Gist,1,To talk or chat,Make we ___ small before you go,,live
FLEX,Gist,1,To enjoy yourself or show off,"Weekend don come, time to ___",,live
WAHALA,Gist,2,"Trouble, and plenty of it",I no want any ___ this year,,live
CRUISE,Gist,2,"Playful banter, not serious","Calm down, na ___ I dey",,live
AMEBO,Gist,2,A nosy gossip,This ___ don carry my matter go outside,AMEEBO,live
GBEDU,Gist,2,Heavy danceable beat,"DJ, put the ___ loud",,live
PALAVA,Gist,2,A quarrel or dispute,No bring ___ come my house,PALAVER,live
SHAKARA,Gist,3,"Showing off, forming",Stop the ___ and greet person,,live
ABEG,Pidgin,1,"Please, or 'come on now'",___ shift small,,live
SABI,Pidgin,1,"To know, or to know how",You ___ drive this kind car?,,live
BIKO,Pidgin,1,"Please (Igbo, used everywhere)",___ help me hold this bag,,live
DASH,Pidgin,1,"A gift or tip, or to give freely",Him ___ me extra plantain,,live
WETIN,Pidgin,2,"What, or what is it",___ happen for road today?,,live
COMOT,Pidgin,2,"Get out, or remove",___ for road before car jam you,,live
WAYO,Pidgin,2,"Trickery, a con","That man na ___ person, careful",,live
GBAM,Pidgin,2,"Exactly, spot on","Your answer correct, ___!",,live
KEKE,Streets,1,Three-wheeled tricycle taxi,Take ___ from junction to house,KEKENAPEP,live
LAGOS,Streets,1,"Centre of Excellence, never sleeps",___ go humble you or make you,,live
ABUJA,Streets,1,"Planned capital, wide roads",Him move to ___ for the government work,,live
DANFO,Streets,2,"Yellow bus, no shock absorbers",Enter ___ for Oshodi go CMS,,live
OKADA,Streets,2,"Motorbike taxi, one prayer",___ fit pass this traffic quick,,live
AGBERO,Streets,2,Motor-park tout collecting levies,___ dey disturb driver for park,,live
MOLUE,Streets,3,The old rickety mass-transit bus,___ don almost finish for Lagos now,,live
CONDUCTOR,Streets,3,The one shouting the route and collecting fare,Give ___ the correct change,,live
GELE,Owambe,1,Head-tie folded like architecture,Her ___ tall pass everybody own,,live
SPRAY,Owambe,1,Sticking cash on a dancing celebrant,Dem ___ the couple plenty money,,live
